transaction_id,member_id,transaction_date,transaction_type,points_amount
PTX00000001,M000001,2025-02-25,EARN,7878
PTX00000002,M000001,2025-07-30,REDEEM,-3490
PTX00000003,M000001,2026-05-05,EARN,8154
PTX00000004,M000001,2025-02-17,EARN,1461
PTX00000005,M000001,2024-08-25,REDEEM,-9657
PTX00000006,M000001,2024-01-01,REDEEM,-7282
PTX00000007,M000001,2024-12-25,REDEEM,-5722
PTX00000008,M000001,2025-11-20,ADJUST,1793
PTX00000009,M000001,2025-09-11,EARN,5635
PTX00000010,M000001,2025-06-03,EXPIRE,-5929
PTX00000011,M000001,2025-04-20,REDEEM,-6730
PTX00000012,M000001,2025-12-11,EARN,5776
PTX00000013,M000002,2026-05-25,REDEEM,-5606
PTX00000014,M000002,2024-12-05,EARN,5624
PTX00000015,M000002,2024-03-09,EARN,838
PTX00000016,M000002,2024-05-03,EARN,3712
PTX00000017,M000002,2024-04-14,EARN,633
PTX00000018,M000002,2024-09-11,EARN,5784
PTX00000019,M000003,2026-05-16,ADJUST,8536
PTX00000020,M000003,2024-05-04,REDEEM,-6594
PTX00000021,M000003,2026-05-27,EARN,4164
PTX00000022,M000003,2024-03-13,EARN,10011
PTX00000023,M000003,2024-11-06,EARN,5393
PTX00000024,M000003,2026-05-06,EXPIRE,-5959
PTX00000025,M000003,2026-03-06,EXPIRE,-7910
